Date,ET(mm/day)
20091001,1.8826466
20091002,1.1056032
20091003,1.9453173
20091004,1.7850114
20091005,1.5427663
20091006,1.4984446
20091007,1.4139092
20091008,1.2044796
20091009,0.65788031
20091010,0.11513103
20091011,0.54652882
20091012,1.094202
20091013,1.1152639
20091014,0.52522415
20091015,1.0636511
20091016,2.0122302
20091017,1.9400456
20091018,1.6541715
20091019,1.6450999
20091020,0.26374367
20091021,1.6399854
20091022,1.1497388
20091023,1.8120033
20091024,0.70825988
20091025,1.0522177
20091026,0.37280884
20091027,0.58695287
20091028,0.68995678
20091029,1.2083892
20091030,1.7801926
20091031,1.3447746
20091101,1.123706
20091102,0.53054553
20091103,1.1581997
20091104,1.5067744
20091105,1.1858069
20091106,1.4725661
20091107,1.1677183
20091108,1.0771691
20091109,1.8188356
20091110,1.4515743
20091111,1.611546
20091112,1.2956002
20091113,1.0111303
20091114,1.471017
20091115,1.0067188
20091116,0.93273556
20091117,1.1956737
20091118,1.2608633
20091119,1.6432456
20091120,1.5271322
20091121,1.3839315
20091122,1.450613
20091123,0.58541375
20091124,1.2918277
20091125,1.4434617
20091126,1.1241354
20091127,1.0182376
20091128,1.8082958
20091129,1.0815834
20091130,1.6236109
20091201,1.5118309
20091202,1.283905
20091203,1.5098174
20091204,1.1072577
20091205,1.4963852
20091206,1.3366462
20091207,1.1098421
20091208,1.1451406
20091209,1.12955
20091210,1.3245078
20091211,1.0315773
20091212,1.5985817
20091213,0.89444923
20091214,1.1528811
20091215,1.2583649
20091216,1.2541147
20091217,1.0416034
20091218,0.18820621
20091219,1.0077487
20091220,1.2523478
20091221,0.82073843
20091222,0.83980387
20091223,0.87237132
20091224,1.1680508
20091225,1.3743708
20091226,1.0162539
20091227,1.6513454
20091228,0.89810824
20091229,1.0656683
20091230,1.0826622
20091231,1.0919874
20100101,1.343168
20100102,1.0312054
20100103,1.6665622
20100104,1.0260073
20100105,1.0608088
20100106,1.2540255
20100107,1.0354936
20100108,0.9438991
20100109,0.99861902
20100110,1.193969
20100111,1.1814378
20100112,1.0456331
20100113,1.0332282
20100114,1.3807284
20100115,1.0352662
20100116,1.3608917
20100117,1.1800205
20100118,0.58275884
20100119,0.63301712
20100120,1.1421564
20100121,1.1184632
20100122,0.87659514
20100123,1.0228981
20100124,1.0218598
20100125,0.88850343
20100126,1.0762519
20100127,0.99690032
20100128,0.90000874
20100129,1.0479286
20100130,1.0060625
20100131,1.079492
20100201,0.79688931
20100202,1.2235502
20100203,1.0353261
20100204,1.1080813
20100205,1.069404
20100206,0.87461144
20100207,1.2417345
20100208,1.149579
20100209,1.1447322
20100210,1.1456317
20100211,1.123009
20100212,1.0665792
20100213,1.1064988
20100214,0.99082738
20100215,0.91606772
20100216,1.0520456
20100217,0.94135493
20100218,0.97126293
20100219,1.1038101
20100220,0.97611582
20100221,1.0152909
20100222,0.79009742
20100223,1.1749016
20100224,0.99915892
20100225,0.71608233
20100226,1.0235474
20100227,1.3391352
20100228,0.99189448
20100301,1.1142882
20100302,1.2178706
20100303,1.0386653
20100304,0.96314096
20100305,1.1314875
20100306,1.1341451
20100307,1.190479
20100308,1.0918812
20100309,0.5207566
20100310,0.71484476
20100311,0.87232769
20100312,1.0981579
20100313,1.4476384
20100314,1.1570809
20100315,0.74472529
20100316,1.0165865
20100317,0.64111865
20100318,0.91033632
20100319,0.82538754
20100320,0.1368714
20100321,0.55562925
20100322,1.1232057
20100323,1.4185957
20100324,1.292556
20100325,0.63881522
20100326,0.75416553
20100327,0.9121235
20100328,0.53249753
20100329,0.69122547
20100330,0.87411648
20100331,1.6633451
20100401,0.65568268
20100402,0.26836383
20100403,1.0912988
20100404,1.0146184
20100405,0.87019402
20100406,0.83721352
20100407,1.0169303
20100408,0.94043499
20100409,0.68364888
20100410,0.97811359
20100411,1.4282774
20100412,1.034088
20100413,0.32263079
20100414,1.3027112
20100415,0.98363715
20100416,0.69826525
20100417,0.75717884
20100418,0.90341932
20100419,0.66751301
20100420,1.1117039
20100421,0.91844141
20100422,0.72767544
20100423,0.28841436
20100424,0.83574969
20100425,0.90130442
20100426,0.42775193
20100427,0.46711364
20100428,0.54903054
20100429,0.80286187
20100430,0.77790213
20100501,0.82007676
20100502,0.83481604
20100503,0.9333638
20100504,0.72849339
20100505,0.77620262
20100506,1.4691113
20100507,0.84348732
20100508,1.2035259
20100509,0.46007547
20100510,0.8104704
20100511,0.71421272
20100512,1.5398731
20100513,1.1080509
20100514,0.95498139
20100515,1.0842707
20100516,1.3862833
20100517,1.5078075
20100518,0.16690691
20100519,0.065397806
20100520,0.40362066
20100521,0.79097039
20100522,0.68752867
20100523,0.70620286
20100524,0.66152221
20100525,0.74479795
20100526,1.3879092
20100527,1.4861152
20100528,1.1688904
20100529,0.70595115
20100530,0.73111433
20100531,1.5434766
20100601,1.4338608
20100602,1.1379198
20100603,0.74422061
20100604,0.67238969
20100605,1.5560069
20100606,1.4158841
20100607,0.65047526
20100608,1.48273
20100609,1.5954959
20100610,0.76616961
20100611,1.1128156
20100612,1.0646559
20100613,0.38795674
20100614,0.7577917
20100615,0.67560357
20100616,0.92910367
20100617,0.68685043
20100618,0.33994353
20100619,0.63383055
20100620,0.65248197
20100621,0.75561839
20100622,0.70891416
20100623,0.82866341
20100624,0.69045615
20100625,0.88169205
20100626,1.9224106
20100627,1.6954678
20100628,0.79264456
20100629,1.665989
20100630,0.80234104
20100701,0.83602738
20100702,1.7285141
20100703,0.47937715
20100704,1.6331954
20100705,0.74788284
20100706,0.74254239
20100707,0.99515212
20100708,0.54102981
20100709,1.5702927
20100710,1.6600977
20100711,1.6412487
20100712,1.5982003
20100713,1.8283719
20100714,1.5330502
20100715,1.3353412
20100716,1.8307496
20100717,1.1603886
20100718,0.70080739
20100719,0.74981201
20100720,0.94126779
20100721,1.7862717
20100722,1.3520066
20100723,1.3899623
20100724,1.1501472
20100725,1.1499259
20100726,1.6553257
20100727,1.5493253
20100728,1.8465515
20100729,1.8978291
20100730,1.1361963
20100731,0.98385656
20100801,1.9910041
20100802,1.9941515
20100803,2.0945609
20100804,0.88059878
20100805,0.81902379
20100806,1.6818731
20100807,1.5634849
20100808,0.64748901
20100809,0.59953874
20100810,0.62041438
20100811,1.8275921
20100812,0.79097927
20100813,0.95636356
20100814,1.7007489
20100815,1.7955533
20100816,0.72544825
20100817,1.6529419
20100818,1.6768361
20100819,1.2321117
20100820,1.3115987
20100821,0.63038313
20100822,1.3357655
20100823,0.62356168
20100824,0.73113728
20100825,1.3565621
20100826,1.6890398
20100827,0.8266505
20100828,0.7875787
20100829,0.83101052
20100830,1.637354
20100831,0.82339066
20100901,0.90136129
20100902,1.2149036
20100903,1.3014597
20100904,1.2580466
20100905,0.8515662
20100906,0.62705916
20100907,1.3345525
20100908,1.4651245
20100909,0.75965267
20100910,0.88288426
20100911,0.997096
20100912,1.1506902
20100913,1.7724993
20100914,1.5550973
20100915,1.455224
20100916,1.813364
20100917,1.7399828
20100918,1.2896374
20100919,1.581702
20100920,1.6965381
20100921,1.0404207
20100922,1.2475712
20100923,0.96233231
20100924,1.1330495
20100925,1.2223055
20100926,1.0872464
20100927,1.0674658
20100928,1.1198754
20100929,1.5544736
20100930,1.35707
20101001,1.2405485
20101002,0.98438996
20101003,0.53747416
20101004,0.45875081
20101005,0.49469432
20101006,1.3843937
20101007,1.2439482
20101008,0.9364332
20101009,1.0553795
20101010,1.332824
20101011,0.65781105
20101012,1.3282487
20101013,1.0443946
20101014,1.0821455
20101015,0.72264582
20101016,1.5641618
20101017,1.106552
20101018,1.7285388
20101019,1.3791457
20101020,1.4711919
20101021,1.3655995
20101022,1.4624221
20101023,0.95303005
20101024,1.1304154
20101025,1.2652067
20101026,1.0998497
20101027,1.1163428
20101028,1.3203828
20101029,1.1944791
20101030,1.1756216
20101031,1.1284267
20101101,1.1213509
20101102,1.2206274
20101103,0.84886593
20101104,0.79167926
20101105,1.000934
20101106,1.5409548
20101107,1.1081481
20101108,0.40645635
20101109,0.90398055
20101110,1.1721562
20101111,0.58345628
20101112,1.1166276
20101113,1.2171419
20101114,1.0814735
20101115,1.2484094
20101116,1.4371886
20101117,1.3915365
20101118,1.5409373
20101119,1.2265116
20101120,1.0526944
20101121,0.89530361
20101122,0.96246338
20101123,1.3408892
20101124,1.1807441
20101125,1.1669775
20101126,1.7358634
20101127,1.1841273
20101128,0.87390888
20101129,0.74075377
20101130,0.55967242
20101201,1.1333432
20101202,0.81945407
20101203,1.4069157
20101204,1.3795727
20101205,0.95307088
20101206,0.90946603
20101207,1.0488675
20101208,0.78646559
20101209,1.2105469
20101210,0.84094143
20101211,1.1360055
20101212,1.3656852
20101213,1.1999909
20101214,1.0561359
20101215,1.0332129
20101216,1.0979609
20101217,1.2338209
20101218,0.75104445
20101219,0.88055938
20101220,1.0355116
20101221,1.3141358
20101222,1.3716723
20101223,1.1557603
20101224,0.92511028
20101225,1.2933774
20101226,1.2788296
20101227,1.416515
20101228,0.99681246
20101229,0.8839854
20101230,0.7963708
20101231,0.94116682
20110101,1.001513
20110102,0.93654132
20110103,1.0040652
20110104,1.1460862
20110105,0.94493586
20110106,0.88202953
20110107,1.1599748
20110108,1.1465774
20110109,0.94189209
20110110,1.0919816
20110111,0.84668368
20110112,1.2338476
20110113,1.1653609
20110114,1.2335336
20110115,0.97908133
20110116,1.0224293
20110117,1.0897387
20110118,1.0540258
20110119,0.90335602
20110120,0.96311361
20110121,1.2653948
20110122,1.3041611
20110123,1.0462925
20110124,1.1593062
20110125,1.2052295
