Date,ET(mm/day)
20091001,1.6003966
20091002,1.1461072
20091003,1.7551926
20091004,1.5671524
20091005,1.3567448
20091006,1.2722275
20091007,1.2140195
20091008,1.1333808
20091009,0.64738083
20091010,0.11990127
20091011,0.5517863
20091012,0.99535155
20091013,1.0443237
20091014,0.52696121
20091015,1.0313449
20091016,1.791804
20091017,1.7151179
20091018,1.4286426
20091019,1.4144758
20091020,0.28388479
20091021,1.420194
20091022,1.0703318
20091023,1.5579822
20091024,0.62172705
20091025,0.92144948
20091026,0.36821955
20091027,0.58916092
20091028,0.67092907
20091029,1.1207962
20091030,1.5902327
20091031,1.2590227
20091101,0.98170477
20091102,0.50962877
20091103,1.0700703
20091104,1.2869246
20091105,1.1016277
20091106,1.318952
20091107,0.98891312
20091108,0.91070276
20091109,1.6286225
20091110,1.2748123
20091111,1.3808119
20091112,1.1802982
20091113,0.96570361
20091114,1.3173094
20091115,0.97104013
20091116,0.88972169
20091117,1.1107972
20091118,1.125458
20091119,1.4798268
20091120,1.3068132
20091121,1.194592
20091122,1.3023973
20091123,0.56653267
20091124,1.1291519
20091125,1.2307451
20091126,0.94999278
20091127,0.87483823
20091128,1.5735514
20091129,1.0324295
20091130,1.4828401
20091201,1.3051133
20091202,1.0812801
20091203,1.3113319
20091204,0.9597972
20091205,1.3199471
20091206,1.1482024
20091207,0.98069954
20091208,0.9912284
20091209,0.95914239
20091210,1.1119732
20091211,0.87164479
20091212,1.3973403
20091213,0.76050842
20091214,0.99897879
20091215,1.0652715
20091216,1.0616304
20091217,0.884426
20091218,0.17139201
20091219,0.86779231
20091220,1.0502204
20091221,0.68800247
20091222,0.70062345
20091223,0.74962413
20091224,0.98189121
20091225,1.2361237
20091226,0.85467637
20091227,1.4240984
20091228,0.7654227
20091229,0.90770352
20091230,0.93165475
20091231,0.93091977
20100101,1.1879483
20100102,0.90963399
20100103,1.4158207
20100104,0.86626905
20100105,0.88841575
20100106,1.0688381
20100107,0.89488035
20100108,0.84542507
20100109,0.88546932
20100110,1.0297657
20100111,1.0098996
20100112,0.88112634
20100113,0.86851305
20100114,1.2188319
20100115,0.90094244
20100116,1.1608906
20100117,1.0684644
20100118,0.53879511
20100119,0.59716636
20100120,0.99257576
20100121,0.96316344
20100122,0.74238807
20100123,0.87339032
20100124,0.8689326
20100125,0.75467372
20100126,0.91062099
20100127,0.85934949
20100128,0.7907638
20100129,0.9142487
20100130,0.88752967
20100131,0.93627727
20100201,0.71241504
20100202,1.0601959
20100203,0.90475512
20100204,0.96423298
20100205,0.93716884
20100206,0.78332227
20100207,1.0952386
20100208,1.0199295
20100209,1.0299695
20100210,1.0043267
20100211,0.96634674
20100212,0.91601449
20100213,0.94721293
20100214,0.85521942
