Date,Rain(mm/day)
20091001,0
20091002,0
20091003,9.439274127
20091004,7.737672752
20091005,0
20091006,0
20091007,0.10193222
20091008,2.217306144
20091009,2.693521339
20091010,1.0761304
20091011,0
20091012,0.536904521
20091013,4.495095729
20091014,5.61278773
20091015,6.462788277
20091016,2.439532049
20091017,3.129689028
20091018,1.325530373
20091019,5.612217432
20091020,4.438544517
20091021,3.978805618
20091022,0
20091023,0.321773691
20091024,3.74662518
20091025,0.802514801
20091026,0.517438267
20091027,0
20091028,0.139733213
20091029,6.589233301
20091030,2.655559713
20091031,3.232871754
20091101,0.685734508
20091102,1.333473935
20091103,0.190257556
20091104,0.463822829
20091105,1.704989048
20091106,0.164467671
20091107,0
20091108,0
20091109,1.917827705
20091110,1.671942803
20091111,1.679470982
20091112,0
20091113,0
20091114,1.992187083
20091115,3.407895772
20091116,0
20091117,0
20091118,0
20091119,0
20091120,4.580159857
20091121,1.369512097
20091122,4.381694949
20091123,0
20091124,0
20091125,3.541608203
20091126,1.092667159
20091127,0
20091128,0.208984113
20091129,0
20091130,1.15553258
20091201,0
20091202,0
20091203,0.10876625
20091204,0
20091205,0
20091206,0
20091207,0
20091208,0
20091209,0
20091210,0
20091211,0
20091212,0
20091213,0
20091214,0
20091215,0
20091216,0
20091217,0
20091218,0
20091219,0
20091220,0
20091221,0
20091222,0
20091223,0.112179509
20091224,1.613353942
20091225,0
20091226,0
20091227,0
20091228,0
20091229,0
20091230,0
20091231,0
20100101,0
20100102,0
20100103,0
20100104,0
20100105,0
20100106,0
20100107,0
20100108,0
20100109,0
20100110,0
20100111,0
20100112,0
20100113,0
20100114,0
20100115,0
20100116,0
20100117,0
20100118,0
20100119,0
20100120,0
20100121,0
20100122,0
20100123,0
20100124,0
20100125,0
20100126,0
20100127,0
20100128,0
20100129,0
20100130,0
20100131,0.4
20100201,0
20100202,0
20100203,0
20100204,0
20100205,0
20100206,0
20100207,0
20100208,0
20100209,0
20100210,1.8
20100211,0
20100212,0
20100213,0.6
20100214,0.6
20100215,0.9
20100216,0
20100217,0
20100218,0
20100219,0
20100220,0
20100221,0
20100222,0
20100223,0
20100224,0
20100225,0
20100226,0.5
20100227,0
20100228,0
20100301,0
20100302,2.1
20100303,3.4
20100304,0
20100305,1.1
20100306,0.2
20100307,0
20100308,0.3
20100309,0.1
20100310,0
20100311,0
20100312,0
20100313,0
20100314,4.8
20100315,0
20100316,0
20100317,0
20100318,0
20100319,0
20100320,0
20100321,0
20100322,13.9
20100323,8.9
20100324,2
20100325,0
20100326,0
20100327,0
20100328,0
20100329,5.2
20100330,0.4
20100331,9.1
20100401,2.9
20100402,0
20100403,0
20100404,0
20100405,0.8
20100406,1
20100407,1.4
20100408,0
20100409,0
20100410,0
20100411,0
20100412,1.3
20100413,0.8
20100414,4.7
20100415,0
20100416,0
20100417,0
20100418,2
20100419,0
20100420,33.3
20100421,9.9
20100422,0.1
20100423,0
20100424,0
20100425,5.3
20100426,0
20100427,0
20100428,0
20100429,0
20100430,1.8
20100501,0
20100502,0
20100503,22.2
20100504,0.5
20100505,0
20100506,5.2
20100507,1.7
20100508,0.4
20100509,0.3
20100510,0
20100511,0
20100512,10.3
20100513,7.1
20100514,0.8
20100515,0
20100516,2.7
20100517,0
20100518,0
20100519,0
20100520,1.8
20100521,2.2
20100522,0.3
20100523,0
20100524,0
20100525,0.5
20100526,10.3
20100527,8.5
20100528,0
20100529,0
